Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,29.139999,29.740000,29.010000,29.500000,16.596453,16486300
2021-01-05,29.459999,30.590000,28.920000,30.400000,17.102783,20245000
2021-01-06,30.500000,31.250000,30.490000,30.750000,17.299690,23213000
2021-01-07,30.920000,31.750000,30.920000,31.650000,17.806028,16348700
2021-01-08,31.879999,32.340000,31.030001,31.590000,17.772270,17349000
2021-01-11,31.120001,31.600000,30.980000,31.290001,17.603493,12810900
2021-01-12,31.680000,31.969999,31.059999,31.180000,17.541607,16516300
2021-01-13,31.170000,31.280001,29.490000,29.740000,16.731476,23270300
2021-01-14,29.770000,30.040001,29.280001,29.860001,16.798986,16531800
2021-01-15,29.480000,29.520000,28.650000,28.809999,16.208265,20426200
2021-01-18,28.889999,29.480000,28.750000,28.760000,16.180136,10070500
2021-01-19,29.180000,29.240000,28.389999,29.120001,16.382669,11002100
2021-01-20,29.350000,29.570000,28.590000,28.629999,16.106998,9105100
2021-01-21,28.530001,28.930000,28.030001,28.090000,15.803199,9540100
2021-01-22,27.490000,27.910000,27.160000,27.730000,15.600666,19675600
2021-01-26,27.850000,28.440001,27.510000,27.600000,15.527530,19726900
2021-01-27,27.299999,28.670000,27.090000,27.980000,15.741314,16528600
2021-01-28,27.840000,28.959999,27.840000,28.600000,16.090122,13571100
2021-01-29,28.230000,28.370001,27.330000,27.330000,15.375630,17428900
2021-02-01,27.809999,28.320000,27.480000,28.110001,15.814449,16133200
2021-02-02,28.889999,29.809999,28.690001,29.080000,16.360167,22197200
2021-02-03,29.350000,29.580000,29.070000,29.299999,16.483934,18113900
2021-02-04,29.280001,29.450001,28.750000,29.270000,16.467058,9732200
2021-02-05,29.309999,30.709999,29.010000,29.680000,16.697720,29591900
2021-02-08,29.170000,29.840000,28.150000,28.450001,16.005733,30213000
2021-02-09,28.379999,28.750000,27.680000,27.709999,15.589416,23255400
2021-02-10,27.980000,28.290001,27.360001,28.049999,15.780694,14690800
2021-02-11,28.299999,28.670000,28.110001,28.309999,15.926971,19893800
2021-02-12,28.309999,28.590000,27.879999,28.500000,16.033863,10835200
2021-02-17,28.530001,29.700001,28.280001,29.680000,16.697720,16008200
2021-02-18,30.500000,30.950001,29.209999,29.430000,16.557072,26443000
2021-02-19,28.250000,28.469999,26.940001,27.100000,15.246233,66820000
2021-02-22,22.500000,22.770000,21.350000,21.549999,12.123849,132375800
2021-02-23,23.000000,23.770000,22.610001,23.480000,13.209651,135100700
2021-02-24,24.040001,24.410000,23.420000,23.780001,13.378428,59529900
2021-02-25,24.500000,24.820000,22.709999,22.940001,12.905853,58890700
2021-02-26,22.870001,23.070000,21.959999,22.150000,12.461405,47419800
2021-03-01,22.660000,22.900000,21.990000,22.010000,12.382641,40852500
2021-03-02,21.900000,22.230000,20.740000,21.910000,12.326384,52848600
2021-03-03,21.700001,21.889999,20.600000,20.969999,11.797545,55664000
